Order ID,Order Date,Customer ID,Customer Name,Region,Product Category,Product Name,Quantity Sold,Unit Price,Total Sales,Profit Margin (%),Profit Amount,Payment Method,Order Status,Customer Segment,Month,Year,Day
ORD0001,2024-02-17,CUST372,Customer 46,East,Furniture,Table,1,402.93,402.93,17.48,70.43,PayPal,Canceled,Wholesale,Feb,2024,17
ORD0002,2024-02-22,CUST962,Customer 94,North,Electronics,Laptop,5,399.1,1995.5,15.61,311.5,Credit Card,Pending,Corporate,Feb,2024,22
ORD0003,2024-01-12,CUST233,Customer 20,East,Electronics,Smartphone,6,155.03,930.18,26.69,248.27,Bank Transfer,Pending,Retail,Jan,2024,12
ORD0004,2024-02-25,CUST927,Customer 117,North,Groceries,Eggs,2,195.79,391.58,5.4,21.15,Bank Transfer,Completed,Wholesale,Feb,2024,25
ORD0005,2024-01-24,CUST950,Customer 12,East,Groceries,Eggs,1,63.77,63.77,25.53,16.28,Credit Card,Canceled,Corporate,Jan,2024,24
ORD0006,2024-02-19,CUST909,Customer 148,West,Clothing,Shirt,3,144.67,434.01,22.13,96.05,PayPal,Pending,Wholesale,Feb,2024,19
ORD0007,2024-01-04,CUST153,Customer 70,West,Clothing,Jeans,7,299.35,2095.45,15.63,327.52,PayPal,Completed,Corporate,Jan,2024,4
ORD0008,2024-02-10,CUST896,Customer 69,West,Groceries,Eggs,10,138.13,1381.3,16.66,230.12,Cash,Completed,Wholesale,Feb,2024,10
ORD0009,2024-02-23,CUST689,Customer 197,North,Groceries,Milk,2,371.12,742.24,22.09,163.96,Cash,Canceled,Wholesale,Feb,2024,23
ORD0010,2024-01-12,CUST678,Customer 82,North,Electronics,Headphones,4,378.32,1513.28,14.71,222.6,Cash,Completed,Wholesale,Jan,2024,12
ORD0011,2024-01-31,CUST866,Customer 1,West,Electronics,Tablet,7,240.82,1685.74,10.77,181.55,Credit Card,Canceled,Corporate,Jan,2024,31
ORD0012,2024-01-14,CUST554,Customer 161,East,Clothing,Jeans,4,226.01,904.04,14.26,128.92,Cash,Canceled,Corporate,Jan,2024,14
ORD0013,2024-01-18,CUST301,Customer 68,West,Furniture,Sofa,6,298.23,1789.38,16.01,286.48,Bank Transfer,Pending,Wholesale,Jan,2024,18
ORD0014,2024-02-23,CUST884,Customer 92,West,Electronics,Smartphone,1,366.51,366.51,21.43,78.54,PayPal,Canceled,Retail,Feb,2024,23
